Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4809597017,concord,0,506.5,G Scottie Scheffler G Robert MacIntyre G Taylor Pendrith G Denny McCarthy G Andrew Novak G Brian Harman,,Scottie Scheffler,G,45.00%,120.5
2,4809611296,chicagoputz,0,487,G Scottie Scheffler G Cameron Young G Maverick McNealy G J.T. Poston G Sam Stevens G Jhonattan Vegas,,Kurt Kitayama,G,35.00%,63
3,4809461621,magic_21,0,482.5,G Scottie Scheffler G Keegan Bradley G Robert MacIntyre G Andrew Novak G Daniel Berger G Michael Kim,,Brian Harman,G,35.00%,62.5
4,4809053568,Knock0ut12,0,476.5,G Scottie Scheffler G Justin Thomas G Kurt Kitayama G Brian Harman G Jhonattan Vegas G Michael Kim,,Andrew Novak,G,30.00%,32
4,4809097542,American-Dream,0,458.5,G Scottie Scheffler G Keegan Bradley G Harry Hall G Si Woo Kim G Bud Cauley G Ryan Gerard,,Cameron Young,G,25.00%,77.5
6,4809743016,cmilly-97,0,448,G Scottie Scheffler G Cameron Young G Kurt Kitayama G Brian Harman G Thomas Detry G Tom Hoge,,Thomas Detry,G,25.00%,32.5
7,4809436942,jimm743,0,410.5,G Rory McIlroy G Corey Conners G Akshay Bhatia G Rickie Fowler G Shane Lowry G Lucas Glover,,Jhonattan Vegas,G,25.00%,39.5
8,4810375711,NPitz14,0,387,G Ludvig Aberg G Matt Fitzpatrick G Chris Gotterup G Rickie Fowler G Kurt Kitayama G Brian Harman,,Rory McIlroy,G,20.00%,81
9,4810437861,ryanhupfer,0,387,G Scottie Scheffler G Chris Gotterup G Harry Hall G Kurt Kitayama G Sam Stevens G Jhonattan Vegas,,Ludvig Aberg,G,20.00%,80.5
10,4809058427,snyde167,0,383.5,G Rory McIlroy G Viktor Hovland G Keegan Bradley G Si Woo Kim G Denny McCarthy G Ryan Gerard,,Chris Gotterup,G,20.00%,46.5
11,4809043881,VOODOG23,0,378,G Scottie Scheffler G Justin Rose G Harris English G Brian Harman G Nick Taylor G Thomas Detry,,Harry Hall,G,20.00%,83
12,4810493001,Lumberjac,0,375,G Scottie Scheffler G J.J. Spaun G Rickie Fowler G Andrew Novak G Thomas Detry G Jhonattan Vegas,,Sam Stevens,G,20.00%,43
13,4810429784,Jph315,0,368.5,G Cameron Young G J.J. Spaun G Akshay Bhatia G Sungjae Im G Harry Hall G Thomas Detry,,Patrick Cantlay,G,15.00%,54
14,4809242028,aceshigh1973,0,365.5,G Cameron Young G J.J. Spaun G Chris Gotterup G Harris English G Harry Hall G Thomas Detry,,J.J. Spaun,G,15.00%,62
15,4809131565,boyewsky,0,360.5,G Ludvig Aberg G Patrick Cantlay G Corey Conners G Kurt Kitayama G Taylor Pendrith G Sam Stevens,,Keegan Bradley,G,15.00%,57.5
16,4809273133,jabella72,0,346,G Xander Schauffele G Ludvig Aberg G Ben Griffin G Kurt Kitayama G Sam Stevens G Jhonattan Vegas,,Corey Conners,G,15.00%,55.5
17,4810108419,cubyblue,0,339,G Ludvig Aberg G Viktor Hovland G Chris Gotterup G Akshay Bhatia G Andrew Novak G Lucas Glover,,Akshay Bhatia,G,15.00%,70
18,4809838166,darksidefan,0,353,G Xander Schauffele G Cameron Young G Corey Conners G Kurt Kitayama G Jason Day G Bud Cauley,,Rickie Fowler,G,15.00%,84
19,4810423206,JonBuc1,0,311.5,G Rory McIlroy G Patrick Cantlay G Denny McCarthy G Andrew Novak G Brian Harman G Bud Cauley,,Denny McCarthy,G,15.00%,63.5
20,4809054560,gapfaff,0,267.5,G Rory McIlroy G Patrick Cantlay G Sungjae Im G Andrew Novak G Brian Harman G Nick Taylor,,Bud Cauley,G,15.00%,48
,,,,,,,Xander Schauffele,G,10.00%,57.5
,,,,,,,Viktor Hovland,G,10.00%,85.5
,,,,,,,Harris English,G,10.00%,67.5
,,,,,,,Robert MacIntyre,G,10.00%,105
,,,,,,,Sungjae Im,G,10.00%,45
,,,,,,,Si Woo Kim,G,10.00%,67
,,,,,,,Taylor Pendrith,G,10.00%,68
,,,,,,,Nick Taylor,G,10.00%,49.5
,,,,,,,Lucas Glover,G,10.00%,47.5
,,,,,,,Ryan Gerard,G,10.00%,36
,,,,,,,Michael Kim,G,10.00%,73.5
,,,,,,,Justin Thomas,G,5.00%,53
,,,,,,,Ben Griffin,G,5.00%,80
,,,,,,,Matt Fitzpatrick,G,5.00%,61
,,,,,,,Justin Rose,G,5.00%,56
,,,,,,,Shane Lowry,G,5.00%,63.5
,,,,,,,Maverick McNealy,G,5.00%,104
,,,,,,,Jason Day,G,5.00%,58.5
,,,,,,,Daniel Berger,G,5.00%,39.5
,,,,,,,J.T. Poston,G,5.00%,48.5
,,,,,,,Tom Hoge,G,5.00%,55
